director_id,movie_id,person_id
1483,1366,7756
1484,1367,11655
1485,1368,29
1486,1369,-
1487,13,3158
1488,1371,16241
1489,1371,15348
14,1372,11008
1491,1373,3176
1492,1374,15541
1493,1374,8053
1494,1374,106
1495,1374,9882
1496,1374,24
1497,1374,9224
1498,1374,20
1499,1375,-
15,1376,-
1501,1377,-
1502,1378,-
1503,1379,-
1504,13,44
1505,1381,-
1506,1382,3046
1507,1383,-
1508,1384,-
1509,1385,9794
15,1386,-
1511,1387,-
1512,1388,15103
1513,1389,10613
1514,13,4434
1515,1391,-
1516,1392,6575
1517,1393,10959
1518,1394,-
1519,1395,8205
15,1396,-
1521,1397,15617
1522,1398,-
1523,1399,10652
1524,14,14549
1525,1401,15995
1526,1402,8387
1527,1403,20336
1528,1404,7886
1529,1405,-
15,1406,20208
1531,1407,-
1532,1408,-
1533,1409,12588
1534,14,7361
1535,1411,-
1536,1412,-
1537,1413,-
1538,1414,18845
1539,1415,-
15,1416,-
1541,1417,-
1542,1418,2243
1543,2708,2243
1544,1419,2247
1545,1421,20295
1546,1422,18272
1547,1423,-
1548,1424,-
1549,1425,-
15,1426,72
1551,1426,14815
1552,1427,-
1553,1428,817
1554,1429,4344
1555,14,-
1556,1431,13403
1557,1431,19693
1558,1432,10839
1559,1433,16916
15,1433,10269
1561,1433,8828
1562,1433,15911
1563,1434,19741
1564,1435,-
1565,1436,-
1566,1437,12546
1567,1438,17483
1568,1439,3901
1569,14,-
15,1441,-
1571,1442,-
1572,1443,-
1573,1444,-
1574,1445,-
1575,1446,14462
1576,1446,16101
1577,1447,-
1578,1448,588
1579,1449,16498
15,14,4064
1581,1451,13823
1582,1453,-
1583,1454,16534
1584,1455,-
1585,1456,-
1586,1457,3158
1587,1458,11255
1588,1459,-
1589,14,3213
15,1461,-
1591,6412,-
1592,1462,8092
1593,1463,16212
1594,1464,-
1595,3805,-
1596,1465,188
1597,1466,-
1598,1467,381
1599,1467,16981
16,1468,12985
1601,1469,17827
1602,14,14942
1603,1471,-
1604,1472,-
1605,1473,19289
1606,1474,18816
1607,1475,-
1608,1476,-
1609,1477,20192
16,1478,-
1611,1479,-
1612,14,1254
1613,1481,-
1614,1482,-
1615,1483,14597
1616,1484,6318
1617,1485,-
1618,1486,135
1619,1487,9086
16,1488,-
1621,1489,-
1622,14,10763
1623,1491,129
1624,1492,164
1625,1493,12322
1626,1494,17472
